"","miRNAname","geneName"
"1","hsa-miR-124-3p","CXCL1"
"2","hsa-miR-1-3p","CXCL1"
"3","hsa-miR-27b-5p","CXCL1"
"4","hsa-miR-335-5p","CXCL2"
"5","hsa-miR-1-3p","CXCL2"
"6","hsa-miR-98-5p","CXCL2"
"7","hsa-miR-223-3p","CXCL2"
"8","hsa-miR-532-5p","CXCL2"
"9","hsa-miR-204-5p","IL1B"
"10","hsa-miR-21-5p","IL1B"
"11","hsa-miR-887-3p","IL1B"
"12","hsa-miR-24-3p","IL1B"
"13","hsa-miR-106a-5p","IL1B"
"14","hsa-miR-877-3p","IL1B"
"15","hsa-let-7a-5p","IL6"
"16","hsa-miR-203a-3p","IL6"
"17","hsa-miR-142-3p","IL6"
"18","hsa-miR-26a-5p","IL6"
"19","hsa-miR-335-5p","IL6"
"20","hsa-miR-365a-3p","IL6"
"21","hsa-miR-155-5p","IL6"
"22","hsa-miR-124-3p","IL6"
"23","hsa-miR-1-3p","IL6"
"24","hsa-miR-98-5p","IL6"
"25","hsa-miR-107","IL6"
"26","hsa-let-7c-5p","IL6"
"27","hsa-miR-223-3p","IL6"
"28","hsa-miR-149-5p","IL6"
"29","hsa-let-7f-5p","IL6"
"30","hsa-miR-146b-5p","IL6"
"31","hsa-miR-9-5p","IL6"
"32","hsa-miR-146a-5p","IL6"
"33","hsa-miR-125a-3p","IL6"
"34","hsa-miR-106a-5p","IL6"
"35","hsa-miR-136-5p","IL6"
"36","hsa-miR-451a","IL6"
"37","hsa-miR-146a-5p","CXCL8"
"38","hsa-miR-204-5p","CXCL8"
"39","hsa-miR-520b","CXCL8"
"40","hsa-miR-335-5p","CXCL8"
"41","hsa-miR-155-5p","CXCL8"
"42","hsa-miR-124-3p","CXCL8"
"43","hsa-miR-1-3p","CXCL8"
"44","hsa-miR-23a-3p","CXCL8"
"45","hsa-miR-93-5p","CXCL8"
"46","hsa-miR-203a-3p","CXCL8"
"47","hsa-miR-302c-3p","CXCL8"
"48","hsa-miR-302d-3p","CXCL8"
"49","hsa-miR-100-3p","CXCL8"
"50","hsa-miR-106a-5p","CXCL8"
"51","hsa-let-7a-5p","CXCL8"
"52","hsa-let-7b-5p","CXCL8"
"53","hsa-let-7c-5p","CXCL8"
"54","hsa-let-7d-5p","CXCL8"
"55","hsa-let-7e-5p","CXCL8"
"56","hsa-let-7f-5p","CXCL8"
"57","hsa-let-7g-5p","CXCL8"
"58","hsa-let-7i-5p","CXCL8"
"59","hsa-miR-1208","CXCL8"
"60","hsa-miR-1294","CXCL8"
"61","hsa-miR-202-3p","CXCL8"
"62","hsa-miR-4316","CXCL8"
"63","hsa-miR-4426","CXCL8"
"64","hsa-miR-4458","CXCL8"
"65","hsa-miR-4500","CXCL8"
"66","hsa-miR-4647","CXCL8"
"67","hsa-miR-4662b","CXCL8"
"68","hsa-miR-4677-3p","CXCL8"
"69","hsa-miR-499a-3p","CXCL8"
"70","hsa-miR-499b-3p","CXCL8"
"71","hsa-miR-6760-3p","CXCL8"
"72","hsa-miR-98-5p","CXCL8"
"73","hsa-let-7a-5p","AC074117.1"
"74","hsa-let-7b-5p","AC074117.1"
"75","hsa-let-7b-5p","AC124045.1"
"76","hsa-let-7b-5p","NEAT1"
"77","hsa-let-7b-5p","AC109460.3"
"78","hsa-let-7d-5p","AP000766.1"
"79","hsa-let-7d-5p","LINC02381"
"80","hsa-let-7i-5p","NEAT1"
"81","hsa-miR-1-3p","AC145207.5"
"82","hsa-miR-107","FGD5-AS1"
"83","hsa-miR-142-3p","FGD5-AS1"
"84","hsa-miR-155-5p","AC090198.1"
"85","hsa-miR-155-5p","NORAD"
"86","hsa-miR-21-5p","AC068768.1"
"87","hsa-miR-223-3p","GAS5"
"88","hsa-miR-223-3p","PITPNA-AS1"
"89","hsa-miR-23a-3p","AC078846.1"
"90","hsa-miR-24-3p","EBLN3P"
"91","hsa-miR-24-3p","MIR497HG"
"92","hsa-miR-365a-3p","OTUD6B-AS1"
"93","hsa-miR-4677-3p","NEAT1"
"94","hsa-miR-9-5p","NEAT1"
"95","hsa-miR-93-5p","HAGLR"
